id,word,pos,part,section,japanese,sentence,sentence_ja
36,depend,verb,1,1,頼る；～次第である,The success of the project will largely depend on the cooperation of all team members.,プロジェクトの成功は、チームメンバー全員の協力に大きく左右されるだろう。
37,object,verb,1,1,反対する；（...）と言って反対する（that節）,The residents strongly objected that the proposed construction project would destroy the natural habitat.,住民たちは、提案された建設プロジェクトが自然生息地を破壊するだろうと強く反対した。
38,demand,verb,1,1,を要求する,The new policy demands a thorough understanding of its implications before implementation.,その新しい政策は、実施前にその影響について徹底的な理解を要求する。
39,found,verb,1,1,を設立する；（理論など）を（～に基づいて）築く（on）,Harvard University was founded in 1636.,ハーバード大学は1636年に設立されました。
40,complete,verb,1,1,を完成させる，仕上げる,Please complete the assignment before the deadline.,締め切りまでに課題を完成させてください。
41,idea,noun,1,1,考え，思いつき；理解；見解；概念,Developing a sustainable energy source is an ambitious idea that requires global cooperation.,持続可能なエネルギー源の開発は、国際的な協力が求められる野心的なアイデアである。
42,accord,noun,1,1,一致；合意，協定,It is important that our environmental policies are in accord with international standards.,私たちの環境政策が国際基準と一致していることが重要です。
43,company,noun,1,1,会社；〔集合的に〕仲間；（仲間と）一緒にいること；一座,He found great comfort in the company of his family during difficult times.,彼は困難な時期に、家族と一緒にいることに大きな慰めを感じた。
44,interest,noun,1,1,興味；利子；利害,"Many young people are beginning to take an interest in environmental issues, advocating for sustainable practices.",多くの若者が環境問題に興味を持ち始め、持続可能な実践を提唱しています。
45,research,noun,1,1,（～についての）研究，調査（into / on / in）,Extensive research is needed to understand the long-term effects of climate change.,気候変動の長期的な影響を理解するためには、広範な研究が必要です。
46,cause,noun,1,1,原因（⇔ effect ⇒ 48）；理由；大義,The primary cause of global warming is the emission of greenhouse gases from human activities.,地球温暖化の主な原因は、人間の活動による温室効果ガスの排出です。
47,reason,noun,1,1,理由；（...する）根拠（to do）；理性；分別,The main reason for his success was his dedication to hard work.,彼の成功の主な理由は、彼の勤勉な努力でした。
48,effect,noun,1,1,影響，効果；結果,The new regulations are expected to have a significant effect on air quality in the city.,新しい規制は、市内の大気質に大きな影響を与えることが予想されています。
49,influence,noun,1,1,影響（力）,The internet has had a profound influence on how people interact with each other.,インターネットは、人々が互いに交流し合う方法に大きな影響を与えてきた。
50,situation,noun,1,1,状況；（人の置かれた）立場,We need to assess the situation carefully before making any rash decisions.,軽率な判断をする前に、私たちは状況を慎重に見極める必要があります。
51,environment,noun,1,1,環境（≒ surroundings）,Protecting the natural environment is crucial for the survival of future generations.,自然環境を保護することは、将来の世代の生存のために極めて重要である。
52,skill,noun,1,1,技能；熟練,Effective communication is a crucial skill in any profession.,効果的なコミュニケーションは、どのような職業においても不可欠なスキルです。
53,matter,noun,1,1,事柄；問題；〔～s〕事態；〔the ～〕困難；物質,We need to discuss this important matter at our next meeting.,次の会議で、この重要な事柄について話し合う必要があります。
54,view,noun,1,1,（～についての）見解（on / about）；（～に対する）（特定の）見方（of）；眺め,Many people hold different views on the environmental issue.,多くの人々がその環境問題について異なる見解を持っています。
55,value,noun,1,1,価値；価格；評価；〔～s〕価値観,"The true value of a gift lies not in its price, but in the thought behind it.",贈り物の本当の価値は、その値段ではなく、その裏にある気持ちにあります。
56,species,noun,1,1,（生物の）種；種類,Protecting endangered species is vital for maintaining the balance of ecosystems worldwide.,絶滅危惧種の保護は、世界中の生態系のバランスを維持するために不可欠である。
57,thought,noun,1,1,考え；思考,Deep thought is often required to solve complex problems.,複雑な問題を解決するためには、深い思考がしばしば必要とされる。
58,knowledge,noun,1,1,知識；知っていること；認識,Acquiring new knowledge is essential for personal growth and career development.,新しい知識を習得することは、個人の成長とキャリアの発展にとって不可欠です。
59,memory,noun,1,1,記憶（力）；（～の）思い出（of）,"Humans possess an incredible capacity for memory, allowing them to recall complex experiences and acquire new knowledge throughout their lives.",人間は驚くべき記憶力を持っており、それによって複雑な経験を思い出し、生涯にわたって新しい知識を習得することができる。
60,practice,noun,1,1,実践，実行；（社会の）慣習；練習,Consistent practice is essential for mastering any new skill.,どんな新しいスキルを習得する上でも、継続的な練習は不可欠です。
61,benefit,noun,1,1,利益，恩恵；給付金,Studying abroad offers many cultural and educational benefits.,留学は多くの文化的、教育的な恩恵をもたらします。
62,theory,noun,1,1,学説；理論；原理；推測,"While the new theory offers a compelling explanation for the phenomenon, further empirical evidence is crucial to conclusively validate its claims.",その新しい学説はその現象に対して説得力のある説明を提供しているが、その主張を決定的に裏付けるためにはさらなる経験的証拠が不可欠である。
63,issue,noun,1,1,問題（点）；発行（物）；発表,One of the main issues discussed at the conference was how to achieve sustainable development.,会議で議論された主要な問題の一つは、持続可能な開発をいかに達成するかだった。
64,experiment,noun,1,1,（～を対象とする）実験（on）,Researchers must meticulously plan each experiment to ensure the reliability and validity of their findings.,研究者たちは、自分たちの発見の信頼性と妥当性を確保するために、各実験を入念に計画する必要があります。
65,article,noun,1,1,記事；条項；品物,The journalist published an insightful article discussing the long-term impact of artificial intelligence on society.,そのジャーナリストは、人工知能が社会に与える長期的な影響について洞察力に富んだ記事を発表した。
66,focus,noun,1,1,焦点；関心の的,The primary focus of this research project is to investigate the long-term effects of climate change on biodiversity.,この研究プロジェクトの主な焦点は、気候変動が生物多様性に与える長期的な影響を調査することである。
67,subject,noun,1,1,話題；科目；主題；被験者,The primary subject of the debate was the economic impact of technological advancements.,その討論の主要な主題は、技術的進歩が経済に与える影響でした。
68,project,noun,1,1,計画；事業；研究計画,The students successfully completed their group project on renewable energy.,学生たちは再生可能エネルギーに関するグループプロジェクトを無事完了しました。
69,quality,noun,1,1,質（⇔ quantity ⇒ 471）；特質,Many leading companies prioritize the quality of their products and services over simply maximizing sales volume.,多くの主要企業は、単に販売量を最大化するよりも、製品やサービスの質を優先している。
70,role,noun,1,1,役割；（俳優などの）役,The role of technology in modern education is constantly evolving.,現代教育におけるテクノロジーの役割は、絶えず進化している。
71,term,noun,1,1,（専門）用語；〔～s〕条件；〔～s〕間柄；学期,The first academic term usually runs from September to December.,最初の学期は通常、9月から12月までです。
72,statement,noun,1,1,声明；主張；明細書,The government issued a statement clarifying its position on the international treaty.,政府は国際条約に関する自国の立場を明確にする声明を発表しました。
73,material,noun,1,1,材料，素材；資料；生地,The architect carefully selected the building materials for their durability and aesthetic appeal.,建築家は、耐久性と美的魅力を考慮し、建築材料を慎重に選びました。
74,evidence,noun,1,1,証拠,The detective carefully examined all the available evidence.,刑事は、利用できるすべての証拠を慎重に調べた。
75,source,noun,1,1,（～の）源，根源（of）；出所，情報源,It's important to always check the source of information before believing it.,情報を鵜呑みにする前に、常にその情報源を確認することが大切です。
76,community,noun,1,1,（共同）社会，～界；地域社会；地域住民,Building a strong sense of community is essential for overcoming challenges and fostering mutual support among its members.,強い共同体意識を築くことは、課題を克服し、構成員間の相互支援を育む上で不可欠である。
77,technology,noun,1,1,科学技術；応用技術,The rapid development of new technology has profound implications for society and the economy.,新しい技術の急速な発展は、社会と経済に深い影響を与えている。
78,culture,noun,1,1,文化；教養；耕作；養殖；培養,Understanding the nuances of a foreign culture is crucial for effective international communication.,異文化の微妙な違いを理解することは、効果的な国際コミュニケーションのために不可欠です。
79,appropriate,adjective,1,1,（～に）適切な（for / to）,Students should choose an appropriate topic for their research paper.,学生は研究論文に適切なテーマを選ぶべきだ。
80,likely,adjective,1,1,ありそうな（⇔ unlikely ありそうもない）,"It is highly likely that the new policy will be implemented next year, despite some initial opposition.",当初いくつかの反対があったにもかかわらず、新しい政策は来年には実施される可能性が非常に高い。
81,possible,adjective,1,1,可能な；可能性のある,Modern technology has made it possible to communicate instantly with people anywhere in the world.,現代の技術は、世界中のどこにいても人々と瞬時にコミュニケーションをとることを可能にした。
82,individual,noun,1,1,個々の；個人の,Every individual plays a vital role in the success of the community.,一人ひとりが、地域の成功において重要な役割を担っています。
83,public,adjective,1,1,公の（⇔ private 私的な）；公衆の；公開の,It is essential for public figures to maintain a high level of integrity and accountability.,公人は高い水準の誠実さと説明責任を維持することが不可欠である。
84,common,adjective,1,1,共通の；普通の；一般の,It is a common misconception that all snakes are venomous.,すべてのヘビが有毒であるというのは、よくある誤解です。
85,certain,adjective,1,1,確信して；確かな；ある；一定の,I am certain that regular exercise contributes significantly to overall well-being.,定期的な運動が全体的な健康に大きく貢献すると、私は確信しています。
86,similar,adjective,1,1,似ている，類似した；同様の,"The two species have similar physical characteristics, but their habitats are vastly different.",その2つの種は似たような身体的特徴を持つが、生息地は大きく異なる。
87,recent,adjective,1,1,最近の,A recent study suggests that climate change is progressing faster than previously estimated.,最近の研究では、気候変動が以前の推定よりも速く進行していることが示唆されています。
88,major,adjective,1,1,主要な；大きい（ほうの）；長調の,The government announced a major reform in the education system.,政府は教育制度における主要な改革を発表した。
89,patient,adjective,1,1,忍耐強い；勤勉な,"Being patient is crucial when learning a new language, as mastery often takes a considerable amount of time and effort.",新しい言語を習得する際には、習得にはかなりの時間と労力がかかるため、忍耐強くあることが極めて重要です。
90,particular,adjective,1,1,特定の；特別の；（～について）やかましい（about）,She pays particular attention to details in her artwork.,彼女は自分の作品の細部に特別な注意を払う。
91,physical,adjective,1,1,身体の（⇔ mental ⇒ 183）；物質的な；物理学の,Regular exercise is essential for good physical health.,定期的な運動は良好な身体の健康に不可欠です。
92,various,adjective,1,1,さまざまな；いくつかの,The university offers various scholarships to students with different academic backgrounds.,その大学は、多様な学術的背景を持つ学生向けに、さまざまな奨学金を提供している。
93,available,adjective,1,1,手に入る；利用できる；手が空いている,Information regarding scholarship opportunities is readily available on the university website for prospective students.,奨学金制度に関する情報は、入学希望者向けに大学のウェブサイトで簡単に入手できます。
94,native,adjective,1,1,出生地の；原産の；生得の,Achieving a truly native accent in a foreign language often requires extensive immersion and practice from an early age.,外国語で真にネイティブなアクセントを習得するには、幼い頃からの徹底的な没入と練習がしばしば必要となる。
95,political,adjective,1,1,政治（上）の,"Climate change is not merely an environmental issue, but also a significant political challenge.",気候変動は単なる環境問題であるだけでなく、重要な政治的課題でもあります。
96,due,adjective,1,1,予定された；（支払）期日で；しかるべき,Your research paper is due at the end of the semester.,あなたの研究論文は学期末が提出期限です。
97,blank,adjective,1,1,空白の；無表情な；がらんとした,"My mind went completely blank during the exam, and I couldn't recall even the simplest facts.",試験中に頭が真っ白になり、最も簡単な事実さえ思い出せなかった。
98,ancient,adjective,1,1,古代の；昔からの,Many ancient civilizations had advanced knowledge of astronomy.,多くの古代文明は、高度な天文学の知識を持っていました。
99,correct,adjective,1,1,正しい；適切な,"To ensure fairness, all test candidates must provide correct and complete answers.",公平を期すために、すべての試験受験者は正しく完全な回答を提出しなければなりません。
100,despite,preposition,1,1,～にもかかわらず（≒ in spite of）,"Despite the heavy traffic, we arrived at the airport on time.",激しい交通渋滞にもかかわらず、私たちは時間通りに空港に到着した。
101,notice,verb,1,2,に気づく,He was so engrossed in his book that he didn't notice the time passing.,彼は本に夢中だったので、時間が過ぎるのに気づかなかった。
102,refer,verb,1,2,言及する，関連する；参照する,"When you write an essay, it's important to refer to credible sources to support your arguments.",エッセイを書く際には、自分の主張を裏付けるために信頼できる情報源を参照することが重要です。
103,approach,verb,1,2,に近づく；に取り組む,"As the deadline approached, the team worked harder to finish the project.",締め切りが近づくにつれて、チームはプロジェクトを終えるためにより懸命に働いた。
104,wonder,verb,1,2,かなと思う；（に）驚く（at）,I often wonder if I made the right decision in the past.,私はよく、過去に正しい決断をしたのかなと思う。
105,imagine,verb,1,2,（を）想像する；（を）推測する,Many scientists imagine a future where renewable energy sources power our entire planet.,多くの科学者は、再生可能エネルギー源が地球全体を動かす未来を想像している。
106,recognize,verb,1,2,を識別できる；を認める,Many people recognize the importance of regular exercise for maintaining good health.,多くの人々は、健康維持のために定期的な運動が重要であることを認識している。
107,solve,verb,1,2,を解く，解明する；（困難など）を解決する,Scientists are working hard to solve the global issue of climate change.,科学者たちは、気候変動という地球規模の問題を解決するために熱心に取り組んでいます。
108,occur,verb,1,2,起こる；心に浮かぶ；現れる,"A rare solar eclipse will occur next month, visible from several regions.",来月、いくつかの地域から観測可能な珍しい日食が起こるでしょう。
109,argue,verb,1,2,"と主張する（≒ claim ⇒ 110, maintain ⇒ 206）；議論する",Many experts argue that regular exercise is crucial for maintaining good health.,多くの専門家は、定期的な運動が健康を維持するために不可欠であると主張している。
110,claim,verb,1,2,と主張する；を（自分のものとして）要求する,"Despite the lack of concrete evidence, some researchers continue to claim that the ancient city was built by an advanced civilization.",具体的な証拠がないにもかかわらず、一部の研究者はその古代都市が高度な文明によって建設されたと主張し続けている。
111,express,verb,1,2,を表す，述べる,It is important for students to learn how to express their ideas clearly.,学生が自分の考えを明確に表現する方法を学ぶことは重要です。
112,draw,verb,1,2,を引き出す；を引く；を描く；近づく,The unique architecture of the new museum is expected to draw a significant number of visitors from around the world.,新しい美術館の独特な建築は、世界中からかなりの数の訪問者を引きつけると予想されている。
113,waste,verb,1,2,を浪費する，無駄にする,It's important not to waste food while preparing meals.,食事の準備中に食べ物を無駄にしないことが重要です。
114,advance,verb,1,2,を進歩させる；を進める；進歩する；進む,"Through their tireless research, scientists continue to advance our understanding of the universe's most complex phenomena.",絶え間ない研究を通して、科学者たちは宇宙の最も複雑な現象に対する私たちの理解を進め続けている。
115,spread,verb,1,2,を広める；広がる,Information can now spread globally almost instantly thanks to the internet.,インターネットのおかげで、情報は今やほとんど瞬時に世界中に広がるようになりました。
116,prepare,verb,1,2,を準備する；を調理する；（～のために）準備をする（for）,Students must prepare thoroughly for their final exams.,学生は期末試験のために徹底的に準備しなければならない。
117,gain,verb,1,2,を獲得する；（を）増す,Students often gain new perspectives when studying abroad.,学生は留学中に新たな視点をしばしば得ます。
118,achieve,verb,1,2,を達成する；を成し遂げる,"To achieve success in any endeavor, consistent effort and a clear vision are essential.",どのような努力においても成功を達成するためには、継続的な努力と明確なビジョンが不可欠です。
119,establish,verb,1,2,を確立する；を設立する,The committee worked hard to establish new regulations for student conduct.,委員会は、学生の行動に関する新しい規則を確立するために懸命に努力した。
120,supply,verb,1,2,を供給する,The company supplies electricity to the entire city.,その会社は都市全体に電力を供給する。
121,suppose,verb,1,2,と思う；と仮定する,I suppose I should apologize for my mistake.,自分の間違いについては謝るべきだとは思う。
122,perform,verb,1,2,（を）行う；（を）演じる，（を）演奏する,"To effectively perform their duties, employees must possess strong problem-solving skills.",従業員が職務を効果的に遂行するためには、優れた問題解決能力を身につけている必要があります。
123,prefer,verb,1,2,のほうを好む,"When faced with the decision, many consumers prefer to buy products from companies that demonstrate strong ethical practices, even if they are slightly more expensive.",選択に直面した際、多くの消費者は、たとえ少し高価であっても、強力な倫理的慣行を示す企業の製品を購入することを好む。
124,determine,verb,1,2,を決定する；を正確に知る,Researchers are working to determine the long-term effects of climate change on biodiversity.,研究者たちは、気候変動が生物多様性に与える長期的な影響を特定するために取り組んでいます。
125,treat,verb,1,2,を扱う；を治療する,This new medicine can effectively treat various diseases.,この新しい薬は、様々な病気を効果的に治療することができます。
126,prove,verb,1,2,を証明する；判明する，わかる,He worked hard to prove his innocence.,彼は自分の無実を証明するために懸命に努力した。
127,apply,verb,1,2,を適用［応用］する；申し込む；（～に）適用される（to / in）,You should apply for the scholarship by the end of next month if you want to be considered.,考慮されたいのであれば、来月末までに奨学金に申し込むべきです。
128,mention,verb,1,2,に言及する；と言う,She forgot to mention the important deadline in her report.,彼女は報告書で重要な締め切りについて言及するのを忘れた。
129,communicate,verb,1,2,（～と）情報交換をする（with）；を伝達する,"It is crucial for scientists across different fields to communicate their findings to a broader audience, bridging the gap between specialized knowledge and public understanding.",異なる分野の科学者が、専門知識と一般の人々の理解との間の隔たりを埋めるために、その研究結果をより多くの聴衆に伝えることが極めて重要である。
130,contain,verb,1,2,を含む；を収容する；（感情など）を抑える,This box contains all the documents you requested.,この箱にはご要望の書類がすべて入っています。
131,contact,verb,1,2,と連絡を取る；接触する,Please contact the academic office if you have any questions regarding your application.,申請について何か質問があれば、学務課に連絡してください。
132,regard,verb,1,2,を見なす；を見る；を評価する,Many people regard him as one of the greatest scientists of our time.,多くの人々が、彼を現代で最も偉大な科学者の一人と見なしている。
133,respect,verb,1,2,を尊敬する；を尊重する,We must respect the cultural traditions of different countries.,私たちは異なる国の文化的伝統を尊重しなければなりません。
134,search,verb,1,2,捜す；を捜索する；を詳しく調べる,The police are searching for evidence related to the recent robbery.,警察は最近の強盗事件に関連する証拠を捜索している。
135,connect,verb,1,2,をつなぐ；を関連づける,It is important to connect new information with existing knowledge for effective learning.,効果的な学習のためには、新しい情報を既存の知識と結びつけることが重要です。
136,decline,verb,1,2,減少する；衰退する；を断る,"Due to a prior commitment, she had to politely decline the invitation to the party.",先約があったため、彼女はパーティーへの招待を丁寧に断らなければなりませんでした。
137,prevent,verb,1,2,を妨げる；を防ぐ,The police took immediate action to prevent further damage after the accident.,警察は、事故の後、それ以上の被害を防ぐため、すぐに行動を起こしました。
138,suffer,verb,1,2,苦しむ；患う；（苦痛など）を経験する,Many species of animals suffer greatly due to habitat loss and climate change.,多くの動物種が、生息地の喪失や気候変動により甚大な苦しみを被っています。
139,survive,verb,1,2,を切り抜けて生き残る；より長生きする；生き延びる,It is often difficult for small businesses to survive in the current competitive market.,現在の競争の激しい市場で中小企業が生き残るのは、しばしば困難です。
140,publish,verb,1,2,を出版する；を公表する,The author plans to publish a new novel next year.,その作家は来年新しい小説を出版する予定です。
141,opportunity,noun,1,2,機会（≒ chance）,The company offers many opportunities for career advancement.,その会社は、キャリアアップのための多くの機会を提供しています。
142,task,noun,1,2,（課せられた）仕事，作業；課題；タスク,Our primary task for the day is to complete the final report before the deadline.,今日の私たちの主要な課題は、締め切りまでに最終報告書を完成させることです。
143,industry,noun,1,2,産業；勤勉（≒ diligence）,His remarkable achievements were a testament to his unwavering industry and intellectual curiosity.,彼の目覚ましい功績は、彼の揺るぎない勤勉さと知的好奇心の証であった。
144,medium,noun,1,2,（情報伝達の）媒体；手段,The internet has become a powerful medium for spreading information worldwide.,インターネットは、世界中に情報を広める強力な媒体となっている。
145,economy,noun,1,2,経済（状態）；経済圏；節約,The government is trying to boost the nation's economy through various policies.,政府は様々な政策を通じて国の経済を活性化させようとしている。
146,policy,noun,1,2,政策，方針；（個人の）主義,The government's new foreign policy aims to strengthen international relations.,政府の新しい外交政策は、国際関係を強化することを目指しています。
147,account,noun,1,2,説明；勘定；口座,The witness gave a detailed account of the accident to the police.,目撃者は警察に事故の詳細な説明をしました。
148,trade,noun,1,2,貿易；商売，取引,International trade plays a crucial role in the economic development of many nations.,国際貿易は、多くの国の経済発展において重要な役割を果たしています。
149,model,noun,1,2,模範；モデル；模型；型,She is a role model for many young athletes.,彼女は多くの若いアスリートにとって模範です。
150,figure,noun,1,2,数字；姿；人物；図表,The latest report presented a startling figure for the budget deficit.,最新の報告書は、財政赤字に関して驚くべき数字を提示した。
151,cell,noun,1,2,細胞；独房；電池,"All living organisms are composed of one or more cells, the fundamental units of life.",すべての生物は、生命の基本的な単位である一つ以上の細胞から構成されている。
152,image,noun,1,2,印象，イメージ；画像；像,A company's brand image is crucial for attracting customers and building trust in the market.,企業のブランドイメージは、顧客を引きつけ、市場での信頼を築く上で非常に重要である。
153,emotion,noun,1,2,感情，情動；感動,Music has the power to evoke strong emotions in people.,音楽は人々に強い感情を呼び起こす力があります。
154,stress,noun,1,2,ストレス；圧力；強調,"The intense academic pressure often experienced by students can lead to significant stress, requiring effective coping mechanisms.",学生がしばしば経験する激しい学業のプレッシャーは、多大なストレスを引き起こす可能性があり、効果的な対処法が必要です。
155,decade,noun,1,2,10年間,The city has undergone remarkable changes over the past decade.,この都市は、過去10年間で目覚ましい変化を遂げました。
156,range,noun,1,2,範囲；射程距離；（同類の）組,"The store offers a wide range of products, from electronics to household goods.",その店は、電化製品から家庭用品まで、幅広い商品を取り揃えています。
157,character,noun,1,2,性格，個性；特徴；登場人物；文字,A person of strong character remains resilient even in the face of adversity.,強い性格の持ち主は、逆境に直面しても粘り強くあり続ける。
158,advantage,noun,1,2,利点；優勢；有利,A strong command of foreign languages often provides a significant advantage for students seeking opportunities in international business.,高い外国語能力は、国際ビジネスの機会を求める学生にとって、しばしば大きな利点となります。
159,phrase,noun,1,2,句；成句；言葉遣い,The professor emphasized the importance of choosing the right phrase to convey complex ideas clearly in academic writing.,教授は、学術論文において、複雑な思想を明確に伝えるために適切なフレーズを選ぶことの重要性を強調した。
160,damage,noun,1,2,損害，損傷；〔～s〕損害賠償金,The recent earthquake caused significant damage to the city's infrastructure.,最近の地震は、都市のインフラに甚大な損害を与えた。
161,impact,noun,1,2,影響；（激しい）衝突；衝撃（力）,The internet has had a profound impact on how people access information and communicate.,インターネットは、人々が情報にアクセスし、コミュニケーションをとる方法に、計り知れない影響を与えてきた。
162,method,noun,1,2,方法；体系；秩序,Choosing an appropriate research method is crucial for the validity of any academic study.,適切な研究方法を選ぶことは、いかなる学術研究の妥当性にとっても極めて重要である。
163,resource,noun,1,2,〔通例～s〕資源；〔通例～s〕資金；才覚,Learning to manage your time effectively is a valuable personal resource.,時間を効果的に管理することを学ぶことは、貴重な個人的な資源です。
164,region,noun,1,2,地域；領域；部位,The Amazon rainforest is a vast region crucial for global biodiversity.,アマゾンの熱帯雨林は、地球規模の生物多様性にとって不可欠な広大な地域です。
165,medicine,noun,1,2,薬；医学,Advances in medicine have significantly improved public health.,医学の進歩は公衆衛生を著しく改善した。
166,detail,noun,1,2,〔～s〕詳細（な情報），細部,He pays attention to every detail.,彼はあらゆる細部に注意を払う。
167,feature,noun,1,2,特徴；〔通例～s〕顔つき；特集記事［番組］,"A key feature of the new smartphone is its enhanced camera system, allowing for better low-light photography.",新型スマートフォンの主要な特徴は、低照度での撮影を向上させる強化されたカメラシステムです。
168,function,noun,1,2,機能；関数,The primary function of a university is not only to disseminate knowledge but also to cultivate critical thinking skills.,大学の主要な機能は、知識を普及させるだけでなく、批判的思考力を養うことにもある。
